ID,Energiedragers,Perioden,TotaalAanbodTPES_1,Winning_2,Invoer_3,Uitvoer_4,NettoInvoer_5,Bunkering_6,Voorraadmutatie_7,StatistischeVerschillen_8,TotaalEnergieverbruik_9,TotaalInzet_10,InzetElektriciteitWKKOmzetting_11,InzetAndereOmzetting_12,TotaalProductie_13,ProductieElektriciteitWKKOmzetting_14,ProductieAndereOmzetting_15,TotaalSaldoEnergieomzetting_16,SaldoElektriciteitWKKOmzetting_17,SaldoAndereOmzetting_18,Totaal_19,ElektriciteitsEnWarmteproductie_20,WinningVanOlieEnGas_21,Cokesfabrieken_22,Hoogovens_23,OlieraffinageInstallaties_24,OverigeInstallaties_25,VerliezenBijDistributie_26,TotaalFinaalVerbruik_27,Totaal_28,Totaal_29,IJzerEnStaalindustrie_30,ChemieEnFarmaceutischeIndustrie_31,NonFerrometalen_32,Bouwmaterialenindustrie_33,Transportmiddelenindustrie_34,MetaalproductenEnMachineIndustrie_35,DelfstoffenwinningGeenOlieEnGas_36,VoedingsEnGenotmiddelenindustrie_37,PapierEnGrafischeIndustrie_38,Houtindustrie_39,Bouwnijverheid_40,TextielKledingEnLederindustrie_41,OverigeIndustrieEnOnbekend_42,Totaal_43,BinnenlandseLuchtvaart_44,Wegverkeer_45,Railverkeer_46,Pijpleidingen_47,BinnenlandseScheepvaart_48,Onbekend_49,Totaal_50,DienstenAfvalWaterEnReparatie_51,Woningen_52,Landbouw_53,Visserij_54,Onbekend_55,Totaal_56,NijverheidExclusiefDeEnergiesector_57,WaarvanChemieEnPetrochemie_58,Vervoer_59,OverigeAfnemers_60
12,T001027   ,1958JJ00,,,,,520.0,121.0,-25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,T001027   ,1959JJ00,,,,,498.0,115.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,T001027   ,1960JJ00,908.4,455.8,1278.0,702.8,575.2,114.4,-8.5,2.2,906.2,1307.8,192.1,1115.7,1089.7,59.5,1030.2,218.1,132.6,85.5,64.1,3.2,2.5,33.4,,1.3,23.8,4.5,619.5,603.9,222.9,36.9,39.5,0.7,9.7,,,,31.2,11.5,,,,92.9,103.5,,74.3,4.8,,24.4,,277.5,23.4,216.9,9.0,,28.2,15.6,13.4,0.1,,2.2
15,T001027   ,1961JJ00,946.2,468.5,1329.1,706.3,622.8,156.5,10.8,0.5,945.7,1366.9,201.6,1165.3,1138.7,63.4,1075.3,228.2,138.2,90.0,63.3,3.5,3.8,32.0,,1.6,22.5,4.8,649.4,629.5,226.3,37.9,44.7,1.0,12.8,,,,33.7,11.8,0.0,,,84.4,111.5,,81.4,4.9,,25.2,,291.7,27.7,228.3,10.2,,25.7,19.9,17.6,2.6,,2.3
16,T001027   ,1962JJ00,1059.4,445.3,1585.7,807.0,778.7,161.5,-3.0,0.9,1058.5,1491.1,216.0,1275.1,1260.0,69.3,1190.7,231.1,146.7,84.4,62.9,3.7,4.4,32.3,,1.7,20.8,5.0,759.5,724.7,247.4,41.4,51.5,0.9,15.2,,,,34.0,13.9,,,,90.5,128.9,6.4,90.2,5.1,,27.2,,348.4,32.3,276.1,10.7,,29.5,34.7,32.3,5.3,,2.4
17,T001027   ,1963JJ00,1168.7,449.6,1729.3,831.7,897.6,164.5,-13.8,2.8,1165.9,1533.7,230.8,1302.9,1295.4,75.5,1219.9,238.3,155.3,83.0,59.0,4.1,5.0,26.5,,1.8,21.6,5.1,863.5,820.5,272.9,43.6,55.4,1.1,16.9,,,,35.5,17.8,,,,102.5,139.3,6.2,98.2,5.7,,29.1,,408.3,32.3,335.7,14.3,,25.9,43.2,40.5,8.9,,2.7
18,T001027   ,1964JJ00,1221.1,461.8,1777.7,794.4,983.3,189.7,-34.8,4.5,1216.6,1702.4,244.5,1457.9,1450.1,82.7,1367.4,252.3,161.8,90.5,64.2,4.4,10.7,26.0,,2.0,21.0,5.9,894.2,829.6,284.1,49.4,60.2,1.4,20.1,,,,39.8,22.5,,,,90.7,151.7,5.0,111.0,5.6,,30.1,,393.8,45.9,317.1,14.6,,16.2,64.6,61.7,13.9,,2.9
19,T001027   ,1965JJ00,1311.2,492.0,1860.0,817.7,1042.3,214.7,-8.7,2.9,1308.3,1838.9,262.7,1576.2,1560.4,90.0,1470.4,278.5,172.7,105.8,66.0,4.9,14.7,23.5,,2.2,20.8,6.3,957.5,885.0,305.0,51.9,70.8,2.1,24.1,,,,39.3,23.8,0.0,,,93.0,165.9,8.2,120.6,5.2,,31.8,,414.1,54.0,329.8,16.2,,14.1,72.5,69.4,18.7,,3.1
20,T001027   ,1966JJ00,1384.7,504.9,2025.5,890.3,1135.2,213.7,-41.7,-0.7,1385.4,1959.4,284.0,1675.4,1642.2,100.3,1541.9,317.2,183.7,133.5,60.7,5.4,15.5,19.1,,2.4,18.3,6.4,1001.1,922.8,317.7,51.1,86.1,3.8,25.8,,,,42.6,25.1,,,,83.2,179.0,12.4,131.6,5.4,,29.6,,426.1,58.7,338.9,15.8,,12.7,78.5,75.1,23.7,,3.4
21,T001027   ,1967JJ00,1481.0,560.7,2047.2,904.1,1143.1,222.2,-0.3,5.0,1476.0,2009.0,295.6,1713.4,1668.2,108.2,1560.0,340.8,187.4,153.4,51.8,5.8,16.6,14.8,,2.6,11.9,5.9,1077.5,963.4,337.1,43.5,95.0,5.0,26.9,,,,47.9,25.1,,,,94.1,193.9,11.9,140.6,5.1,,36.4,,432.4,67.2,339.9,18.2,,7.2,114.0,110.2,34.0,,3.8
22,T001027   ,1968JJ00,1643.2,743.0,2179.7,963.3,1216.4,281.7,-35.1,-4.7,1647.9,2210.8,331.0,1879.8,1813.8,121.0,1692.8,397.0,210.0,187.0,45.0,6.4,16.7,10.2,,2.9,8.9,6.7,1199.2,1092.4,383.9,46.7,118.5,6.5,28.9,,,,51.4,24.3,,,,107.4,207.0,14.5,153.4,5.0,,34.1,,501.5,85.8,387.4,22.9,,5.6,106.9,102.8,50.3,,4.1
